[Branch 173 | Profundidade 6] Job 1 - Op 1 | Máquina: 2 | Início: 7 | Fim: 8 | Makespan parcial: 9
[Branch 174 | Profundidade 7] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 175 | Profundidade 8] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 13
[Branch 176 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 177 | Profundidade 7] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 12
[Branch 178 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 179 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 180 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 181 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 182 | Profundidade 6] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 12
[Branch 183 | Profundidade 7] Job 1 - Op 1 | Máquina: 2 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 184 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 13 | Fim: 17 | Makespan parcial: 17
[Branch 185 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 17
[Branch 186 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 187 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 13 | Fim: 17 | Makespan parcial: 17
[Branch 188 | Profundidade 7] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 189 | Profundidade 8] Job 1 - Op 1 | Máquina: 2 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 190 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 13 | Fim: 17 | Makespan parcial: 17
[Branch 191 | Profundidade 5] Job 1 - Op 1 | Máquina: 2 | Início: 5 | Fim: 6 | Makespan parcial: 9
[Branch 192 | Profundidade 6] Job 0 - Op 2 | Máquina: 2 | Início: 6 | Fim: 8 | Makespan parcial: 9
[Branch 193 | Profundidade 7] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 194 | Profundidade 8] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 13
[Branch 195 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 196 | Profundidade 7] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 12
[Branch 197 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 198 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 199 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 200 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 201 | Profundidade 6] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 202 | Profundidade 7] Job 0 - Op 2 | Máquina: 2 | Início: 6 | Fim: 8 | Makespan parcial: 13
[Branch 203 | Profundidade 8] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 13
[Branch 204 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 205 | Profundidade 7] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 13
[Branch 206 | Profundidade 8] Job 0 - Op 2 | Máquina: 2 | Início: 12 | Fim: 14 | Makespan parcial: 14
[Branch 207 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 14
[Branch 208 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 209 | Profundidade 9] Job 0 - Op 2 | Máquina: 2 | Início: 12 | Fim: 14 | Makespan parcial: 14
[Branch 210 | Profundidade 6] Job 2 - Op 1 | Máquina: 2 | Início: 9 | Fim: 12 | Makespan parcial: 12
[Branch 211 | Profundidade 7] Job 0 - Op 2 | Máquina: 2 | Início: 12 | Fim: 14 | Makespan parcial: 14
[Branch 212 | Profundidade 8] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 14
[Branch 213 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 14
[Branch 214 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 14
[Branch 215 | Profundidade 9] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 14
[Branch 216 | Profundidade 7] Job 1 - Op 2 | Máquina: 1 | Início: 9 | Fim: 13 | Makespan parcial: 13
[Branch 217 | Profundidade 8] Job 0 - Op 2 | Máquina: 2 | Início: 12 | Fim: 14 | Makespan parcial: 14
[Branch 218 | Profundidade 9] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 14
[Branch 219 | Profundidade 8] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 220 | Profundidade 9] Job 0 - Op 2 | Máquina: 2 | Início: 12 | Fim: 14 | Makespan parcial: 14
[Branch 221 | Profundidade 7] Job 2 - Op 2 | Máquina: 0 | Início: 12 | Fim: 13 | Makespan parcial: 13
[Branch 222 | Profundidade 8] Job 0 - Op 2 | Máquina: 2 | Início: 12 | Fim: 14 | Makespan parcial: 14
